======================================================================
Logging started at 2025-11-04 11:22:50
Log file   : logs/output_q2.txt
Using device: cuda
======================================================================
Starting Deep SARSA training for LunarLander-v3 (one update per step)
Iter 620 | Eval mean = -226.67 | Max reward = -182.32 | Min reward = -260.06 | eps = 0.733
Iter 630 | Eval mean = -190.03 | Max reward = -149.12 | Min reward = -222.13 | eps = 0.730
Iter 640 | Eval mean = -170.67 | Max reward = -100.46 | Min reward = -257.06 | eps = 0.726
Iter 650 | Eval mean = -198.99 | Max reward = -112.45 | Min reward = -266.14 | eps = 0.722
Iter 660 | Eval mean = -122.38 | Max reward = -70.17 | Min reward = -215.78 | eps = 0.719
Iter 670 | Eval mean = -197.87 | Max reward = -111.59 | Min reward = -252.42 | eps = 0.715
Iter 680 | Eval mean = -187.30 | Max reward = -112.21 | Min reward = -239.86 | eps = 0.712
Iter 690 | Eval mean = -204.82 | Max reward = -156.68 | Min reward = -282.60 | eps = 0.708
Iter 700 | Eval mean = -224.97 | Max reward = -184.69 | Min reward = -263.07 | eps = 0.705
Iter 710 | Eval mean = -229.90 | Max reward = -184.61 | Min reward = -268.64 | eps = 0.701
Iter 720 | Eval mean = -222.89 | Max reward = -177.91 | Min reward = -253.07 | eps = 0.698
Iter 730 | Eval mean = -138.57 | Max reward = -104.24 | Min reward = -216.56 | eps = 0.694
Iter 740 | Eval mean = -199.72 | Max reward = -161.86 | Min reward = -229.04 | eps = 0.691
Iter 750 | Eval mean = -201.25 | Max reward = -161.26 | Min reward = -237.77 | eps = 0.687
Iter 760 | Eval mean = -197.98 | Max reward = -159.49 | Min reward = -237.68 | eps = 0.684
Iter 770 | Eval mean = -229.52 | Max reward = -185.46 | Min reward = -264.48 | eps = 0.680
Iter 780 | Eval mean = -207.24 | Max reward = -163.05 | Min reward = -242.85 | eps = 0.677
Iter 790 | Eval mean = -201.62 | Max reward = -167.40 | Min reward = -237.09 | eps = 0.674
Iter 800 | Eval mean = -137.33 | Max reward = -104.97 | Min reward = -181.93 | eps = 0.670
Iter 810 | Eval mean = -197.02 | Max reward = -119.40 | Min reward = -279.04 | eps = 0.667
Iter 820 | Eval mean = -165.87 | Max reward = -134.08 | Min reward = -214.29 | eps = 0.664
Iter 830 | Eval mean = -176.00 | Max reward = -108.27 | Min reward = -306.28 | eps = 0.660
Iter 840 | Eval mean = -165.94 | Max reward = -137.66 | Min reward = -217.88 | eps = 0.657
Iter 850 | Eval mean = -168.46 | Max reward = -129.69 | Min reward = -271.13 | eps = 0.654
Iter 860 | Eval mean = -223.21 | Max reward = -171.44 | Min reward = -294.05 | eps = 0.650
Iter 870 | Eval mean = -151.01 | Max reward = -127.53 | Min reward = -180.75 | eps = 0.647
Iter 880 | Eval mean = -175.89 | Max reward = -152.52 | Min reward = -204.57 | eps = 0.644
Iter 890 | Eval mean = -184.95 | Max reward = -138.31 | Min reward = -221.03 | eps = 0.641
Iter 900 | Eval mean = -258.11 | Max reward = -189.89 | Min reward = -307.28 | eps = 0.638
Iter 910 | Eval mean = -194.98 | Max reward = -162.04 | Min reward = -234.76 | eps = 0.634
Iter 920 | Eval mean = -398.91 | Max reward = -286.21 | Min reward = -485.89 | eps = 0.631
Iter 930 | Eval mean = -202.15 | Max reward = -176.18 | Min reward = -238.22 | eps = 0.628
Iter 940 | Eval mean = -229.23 | Max reward = -193.56 | Min reward = -261.55 | eps = 0.625
Iter 950 | Eval mean = -212.10 | Max reward = -188.08 | Min reward = -245.01 | eps = 0.622
Iter 960 | Eval mean = -209.50 | Max reward = -180.36 | Min reward = -243.03 | eps = 0.619
Iter 970 | Eval mean = -180.86 | Max reward = -148.17 | Min reward = -207.56 | eps = 0.616
Iter 980 | Eval mean = -316.76 | Max reward = -287.37 | Min reward = -338.79 | eps = 0.613
Iter 990 | Eval mean = -278.41 | Max reward = -247.84 | Min reward = -307.82 | eps = 0.609
Iter 1000 | Eval mean = -263.72 | Max reward = -234.60 | Min reward = -289.13 | eps = 0.606
--> Iter 1000/7000 | AvgReward(last 500): -68.88 | AvgLoss: 54.895586 | Eps: 0.606 | ReplayLen: 100000
Iter 1010 | Eval mean = -297.78 | Max reward = -276.35 | Min reward = -319.13 | eps = 0.603
Iter 1020 | Eval mean = -255.29 | Max reward = -223.77 | Min reward = -292.41 | eps = 0.600
Iter 1030 | Eval mean = -203.39 | Max reward = -174.59 | Min reward = -230.08 | eps = 0.597
Iter 1040 | Eval mean = -266.29 | Max reward = -212.88 | Min reward = -284.64 | eps = 0.594
Iter 1050 | Eval mean = -173.24 | Max reward = -86.37 | Min reward = -245.14 | eps = 0.591
Iter 1060 | Eval mean = -174.73 | Max reward = -85.73 | Min reward = -254.06 | eps = 0.589
Iter 1070 | Eval mean = -224.12 | Max reward = -175.29 | Min reward = -252.34 | eps = 0.586
Iter 1080 | Eval mean = -116.69 | Max reward = -71.72 | Min reward = -207.32 | eps = 0.583
Iter 1090 | Eval mean = -115.83 | Max reward = 157.76 | Min reward = -212.18 | eps = 0.580
Iter 1100 | Eval mean = -156.47 | Max reward = -84.61 | Min reward = -226.67 | eps = 0.577
Iter 1110 | Eval mean = -134.61 | Max reward = -61.14 | Min reward = -215.54 | eps = 0.574
Iter 1120 | Eval mean = -83.74 | Max reward = -36.64 | Min reward = -203.56 | eps = 0.571
Iter 1130 | Eval mean = -121.88 | Max reward = -54.29 | Min reward = -241.83 | eps = 0.568
Iter 1140 | Eval mean = -100.02 | Max reward = -50.41 | Min reward = -156.37 | eps = 0.565
Iter 1150 | Eval mean = -129.76 | Max reward = -55.75 | Min reward = -207.94 | eps = 0.563
Iter 1160 | Eval mean = -77.71 | Max reward = -26.20 | Min reward = -120.12 | eps = 0.560
Iter 1170 | Eval mean = -73.70 | Max reward = -32.27 | Min reward = -126.66 | eps = 0.557
Iter 1180 | Eval mean = -96.40 | Max reward = -58.59 | Min reward = -172.73 | eps = 0.554
Iter 1190 | Eval mean = -51.81 | Max reward = 63.15 | Min reward = -140.22 | eps = 0.551
Iter 1200 | Eval mean = -74.06 | Max reward = -49.81 | Min reward = -128.73 | eps = 0.549
Iter 1210 | Eval mean = -120.48 | Max reward = -72.54 | Min reward = -186.85 | eps = 0.546
Iter 1220 | Eval mean = -107.02 | Max reward = -50.06 | Min reward = -213.20 | eps = 0.543
Iter 1230 | Eval mean = -82.84 | Max reward = -41.34 | Min reward = -121.86 | eps = 0.541
Iter 1240 | Eval mean = -62.28 | Max reward = -22.78 | Min reward = -92.05 | eps = 0.538
Iter 1250 | Eval mean = -70.52 | Max reward = -22.90 | Min reward = -163.95 | eps = 0.535
Iter 1260 | Eval mean = -69.84 | Max reward = -24.59 | Min reward = -107.52 | eps = 0.533
Iter 1270 | Eval mean = -89.72 | Max reward = -50.19 | Min reward = -204.83 | eps = 0.530
