Algorithm: ppo
Environment: HalfCheetah-v4
Seed: 42

Episode Rewards:
  Episode 1: 1610.4615396541776
  Episode 2: 1540.3126537129283
  Episode 3: 1560.0432109842077
  Episode 4: 1573.6581345022423
  Episode 5: 1561.6717938496731
  Episode 6: 1631.3785177922982
  Episode 7: 1626.3519433122128
  Episode 8: 1627.1589418753865
  Episode 9: 1447.8457078151405
  Episode 10: 1594.2135104741901
  Episode 11: 1709.2197694168426
  Episode 12: 1586.5386712718755
  Episode 13: 1593.5257218105253
  Episode 14: 1607.5722718194593
  Episode 15: 1625.7819846989587
  Episode 16: 1654.9231009911746
  Episode 17: 1653.3318887589849
  Episode 18: 1613.5049371687346
  Episode 19: 1583.5624151686206
  Episode 20: 1534.2291344041005
  Episode 21: 1600.8277336487226
  Episode 22: 1576.5030204183422
  Episode 23: 1558.357573112473
  Episode 24: 1612.4214394730516
  Episode 25: 1553.5125650027185
  Episode 26: 1522.7430484606884
  Episode 27: 1521.545214824495
  Episode 28: 1444.1605438883416
  Episode 29: 1480.831191313453
  Episode 30: 1585.005923116667
  Episode 31: 1617.1340927556157
  Episode 32: 1557.9115390698425
  Episode 33: 1585.1652715601958
  Episode 34: 1549.4836399154738
  Episode 35: 1585.174520361703
  Episode 36: 1528.7089178676251
  Episode 37: 1435.1827764274785
  Episode 38: 1611.8499633038882
  Episode 39: 1479.8592625801102
  Episode 40: 1572.885304753203
  Episode 41: 1646.1543797785416
  Episode 42: 1551.9679404143244
  Episode 43: 1538.3442451726878
  Episode 44: 1543.9562471527606
  Episode 45: 1659.6600829215604
  Episode 46: 1550.6382381534204
  Episode 47: 1573.5507731123362
  Episode 48: 1516.4331080695847
  Episode 49: 1667.7570970887318
  Episode 50: 1622.369172562845
  Episode 51: 1600.4704306670465
  Episode 52: 1569.3644642990548
  Episode 53: 1563.9383833887987
  Episode 54: 1607.4115813486278
  Episode 55: 1560.876122482121
  Episode 56: 1611.7823296207935
  Episode 57: 1495.8411149242893
  Episode 58: 1556.5664077159017
  Episode 59: 1677.2351387664676
  Episode 60: 1586.0169768445194
  Episode 61: 1584.2105497447774
  Episode 62: 1580.4994599639904
  Episode 63: 1571.1836689007469
  Episode 64: 1535.1669335632469
  Episode 65: 1597.488443263108
  Episode 66: 1615.0315493787639
  Episode 67: 1599.4913915989455
  Episode 68: 1587.3514753719792
  Episode 69: 1613.5867206775438
  Episode 70: 1569.8731202762574
  Episode 71: 1016.9944113178353
  Episode 72: 1644.675347956596
  Episode 73: 1608.6934727607295
  Episode 74: 1658.872985549271
  Episode 75: 1618.7274583554827
  Episode 76: 1612.269713405869
  Episode 77: 1581.7531844438054
  Episode 78: 1613.541930858919
  Episode 79: 1627.4555187961087
  Episode 80: -88.76768134254962
  Episode 81: 1588.6529169070332
  Episode 82: 1599.983566972427
  Episode 83: 1563.9619522930589
  Episode 84: 1546.0201428730506
  Episode 85: 1596.4046992198564
  Episode 86: 1556.5852305935696
  Episode 87: 1547.4886165447533
  Episode 88: 1557.2021541022696
  Episode 89: 1621.957829148043
  Episode 90: 1527.963151046075
  Episode 91: 1597.588177268044
  Episode 92: 1585.4744509925367
  Episode 93: 1543.4136273143813
  Episode 94: 1589.960904394742
  Episode 95: 1584.8396322818153
  Episode 96: 1571.9041832312942
  Episode 97: 1599.518131768331
  Episode 98: 1583.5392049225047
  Episode 99: 1605.8611203278415
  Episode 100: 1567.2577448412776

Mean Reward: 1558.99
Std Reward: 181.06
