Algorithm: a2c
Environment: Hopper-v4
Seed: 42

Episode Rewards:
  Episode 1: 1005.6546064019203
  Episode 2: 1003.9678779840469
  Episode 3: 1004.0239806771278
  Episode 4: 1004.855142056942
  Episode 5: 1005.3140504360199
  Episode 6: 1004.4335104823112
  Episode 7: 1004.2767207026482
  Episode 8: 1004.313661634922
  Episode 9: 1004.6711388230324
  Episode 10: 1003.6248517036438
  Episode 11: 1005.6629665493965
  Episode 12: 1005.0155125260353
  Episode 13: 1004.2086744904518
  Episode 14: 1004.9460746645927
  Episode 15: 1003.3446632623672
  Episode 16: 1004.4436113834381
  Episode 17: 1005.0105308294296
  Episode 18: 1004.333643257618
  Episode 19: 1004.2506952285767
  Episode 20: 1005.4447413682938
  Episode 21: 1004.2300034761429
  Episode 22: 1005.0416766405106
  Episode 23: 1004.099154651165
  Episode 24: 1005.2439175844193
  Episode 25: 1005.3039954304695
  Episode 26: 1004.2855308055878
  Episode 27: 1004.633583188057
  Episode 28: 1004.6686952114105
  Episode 29: 1004.6173870563507
  Episode 30: 1005.5858607292175
  Episode 31: 1005.4041506052017
  Episode 32: 1004.0789009928703
  Episode 33: 1003.872750222683
  Episode 34: 1004.8586253523827
  Episode 35: 1004.1988360285759
  Episode 36: 1005.190029501915
  Episode 37: 1004.7887238264084
  Episode 38: 1004.5581570863724
  Episode 39: 1003.4087601900101
  Episode 40: 1004.0410796999931
  Episode 41: 1004.1471584439278
  Episode 42: 1004.8028878569603
  Episode 43: 1004.8562633395195
  Episode 44: 1004.0718660950661
  Episode 45: 1003.6278883814812
  Episode 46: 1004.7793772220612
  Episode 47: 1005.8167816996574
  Episode 48: 1004.4544803500175
  Episode 49: 1003.7487549781799
  Episode 50: 1004.7412037849426
  Episode 51: 1003.2073668241501
  Episode 52: 1005.1587750315666
  Episode 53: 1004.9899352192879
  Episode 54: 1005.2087398171425
  Episode 55: 1004.5076168775558
  Episode 56: 1004.5031052231789
  Episode 57: 1004.3623912334442
  Episode 58: 1004.9298096299171
  Episode 59: 1004.3848813176155
  Episode 60: 1004.6815596222878
  Episode 61: 1004.6792510151863
  Episode 62: 1004.7549500465393
  Episode 63: 1003.861990749836
  Episode 64: 1004.6662109494209
  Episode 65: 1004.8205502033234
  Episode 66: 1004.9965379238129
  Episode 67: 1005.2419820427895
  Episode 68: 1004.5182316303253
  Episode 69: 1004.9729790687561
  Episode 70: 1005.4286508560181
  Episode 71: 1004.9053438901901
  Episode 72: 1003.9380515813828
  Episode 73: 1004.0562419891357
  Episode 74: 1004.4705060720444
  Episode 75: 1003.4616192579269
  Episode 76: 1004.0740265250206
  Episode 77: 1003.3999302983284
  Episode 78: 1004.8254235386848
  Episode 79: 1004.2983767390251
  Episode 80: 1004.1276705861092
  Episode 81: 1004.0629111528397
  Episode 82: 1003.3091465830803
  Episode 83: 1004.8885298967361
  Episode 84: 1005.5001962780952
  Episode 85: 1004.0226291418076
  Episode 86: 1005.6723144054413
  Episode 87: 1003.9663302898407
  Episode 88: 1004.3664426207542
  Episode 89: 1003.7644322514534
  Episode 90: 1004.9985175728798
  Episode 91: 1005.9967296719551
  Episode 92: 1003.6811913847923
  Episode 93: 1003.9337456226349
  Episode 94: 1004.4496822953224
  Episode 95: 1004.7835739254951
  Episode 96: 1005.8521293997765
  Episode 97: 1006.0078102350235
  Episode 98: 1003.9957919120789
  Episode 99: 1004.0563262104988
  Episode 100: 1004.9271852374077

Mean Reward: 1004.57
Std Reward: 0.64
