Algorithm: a2c
Environment: HalfCheetah-v4
Seed: 123

Episode Rewards:
  Episode 1: 1387.5320915223565
  Episode 2: 2206.843188009225
  Episode 3: 2355.222613404505
  Episode 4: 2426.818692693487
  Episode 5: 332.1131905121729
  Episode 6: 544.8333605443477
  Episode 7: 2331.9453144324943
  Episode 8: 2015.202121273469
  Episode 9: 1913.3090564245358
  Episode 10: 2212.328227183316
  Episode 11: 1444.2435700600035
  Episode 12: 2485.030506921001
  Episode 13: 2324.5363425328396
  Episode 14: 2247.113090459723
  Episode 15: 2533.1825740840286
  Episode 16: 2089.915597590152
  Episode 17: 1474.626283697784
  Episode 18: 2260.3772260723636
  Episode 19: 455.8024069631065
  Episode 20: 2186.026380228519
  Episode 21: 1229.3679626691155
  Episode 22: 2215.537730438402
  Episode 23: 1342.552004390047
  Episode 24: 2193.1217296812683
  Episode 25: 2225.7778443347197
  Episode 26: 1444.2501417356543
  Episode 27: 2136.409256493207
  Episode 28: 2528.7718524294905
  Episode 29: 2372.6833576662466
  Episode 30: 1786.8650697413832
  Episode 31: 2223.893052476924
  Episode 32: 1294.208288917318
  Episode 33: 2255.6503963581054
  Episode 34: 973.667468554806
  Episode 35: 2437.4079843200743
  Episode 36: 1599.0417960705236
  Episode 37: 2225.2003641225165
  Episode 38: 2231.965614042245
  Episode 39: 918.4158161245286
  Episode 40: 2491.772399876616
  Episode 41: 496.29334603552707
  Episode 42: 2500.1733329854906
  Episode 43: 1501.246667289175
  Episode 44: 2463.347900603898
  Episode 45: 2221.183965907898
  Episode 46: 2302.8098308937624
  Episode 47: 348.21358001837507
  Episode 48: 1187.8932351249096
  Episode 49: 2417.8657896202058
  Episode 50: 2539.5976379052736
  Episode 51: 2597.448735215934
  Episode 52: 1985.4830241008895
  Episode 53: 2528.214466604404
  Episode 54: 2221.7369944718666
  Episode 55: 1841.2782294251956
  Episode 56: 2398.8080712249503
  Episode 57: 2309.7533338364447
  Episode 58: 1231.4498752371874
  Episode 59: 2379.638398954645
  Episode 60: 2390.204975186847
  Episode 61: 2614.1558105493896
  Episode 62: 2436.710901859682
  Episode 63: 696.7166871752124
  Episode 64: 2655.641972700134
  Episode 65: 2386.8528295698925
  Episode 66: 2257.745371056488
  Episode 67: 2110.1775929614914
  Episode 68: 1140.2252305869479
  Episode 69: 2477.982860658318
  Episode 70: 1013.8377240542322
  Episode 71: 2457.856505546719
  Episode 72: 2261.8203028267017
  Episode 73: 2388.4699872769415
  Episode 74: 958.7885269902181
  Episode 75: 2218.114548710175
  Episode 76: 2095.3047678298317
  Episode 77: 2623.1192337298125
  Episode 78: 2173.8200971109327
  Episode 79: 2182.199210582534
  Episode 80: 2609.1768531333655
  Episode 81: 2618.423254255904
  Episode 82: 2372.8574574748054
  Episode 83: 1238.0711994796002
  Episode 84: 2378.600735751912
  Episode 85: 2050.787484584376
  Episode 86: 2592.4715930446982
  Episode 87: 2230.751491636969
  Episode 88: 1258.2023719765712
  Episode 89: 2359.058213548735
  Episode 90: 1816.6076231580228
  Episode 91: 555.1433287146865
  Episode 92: 2212.8521696196403
  Episode 93: 2415.3204716593027
  Episode 94: 2200.1871184119955
  Episode 95: 1060.9352666976774
  Episode 96: 363.879885508446
  Episode 97: 1813.2339227847988
  Episode 98: 2127.966921384701
  Episode 99: 2576.865044254111
  Episode 100: 2213.249219784717

Mean Reward: 1954.30
Std Reward: 629.37
