Algorithm: a2c
Environment: InvertedPendulum-v4
Seed: 42

Episode Rewards:
  Episode 1: 56.0
  Episode 2: 89.0
  Episode 3: 89.0
  Episode 4: 119.0
  Episode 5: 35.0
  Episode 6: 160.0
  Episode 7: 62.0
  Episode 8: 24.0
  Episode 9: 60.0
  Episode 10: 93.0
  Episode 11: 47.0
  Episode 12: 89.0
  Episode 13: 16.0
  Episode 14: 49.0
  Episode 15: 92.0
  Episode 16: 13.0
  Episode 17: 17.0
  Episode 18: 49.0
  Episode 19: 22.0
  Episode 20: 52.0
  Episode 21: 43.0
  Episode 22: 141.0
  Episode 23: 13.0
  Episode 24: 76.0
  Episode 25: 88.0
  Episode 26: 20.0
  Episode 27: 92.0
  Episode 28: 35.0
  Episode 29: 52.0
  Episode 30: 25.0
  Episode 31: 16.0
  Episode 32: 100.0
  Episode 33: 77.0
  Episode 34: 73.0
  Episode 35: 75.0
  Episode 36: 78.0
  Episode 37: 25.0
  Episode 38: 16.0
  Episode 39: 8.0
  Episode 40: 79.0
  Episode 41: 22.0
  Episode 42: 42.0
  Episode 43: 84.0
  Episode 44: 70.0
  Episode 45: 131.0
  Episode 46: 16.0
  Episode 47: 16.0
  Episode 48: 32.0
  Episode 49: 64.0
  Episode 50: 27.0
  Episode 51: 34.0
  Episode 52: 34.0
  Episode 53: 180.0
  Episode 54: 65.0
  Episode 55: 23.0
  Episode 56: 28.0
  Episode 57: 84.0
  Episode 58: 21.0
  Episode 59: 16.0
  Episode 60: 10.0
  Episode 61: 60.0
  Episode 62: 25.0
  Episode 63: 64.0
  Episode 64: 102.0
  Episode 65: 69.0
  Episode 66: 45.0
  Episode 67: 46.0
  Episode 68: 12.0
  Episode 69: 12.0
  Episode 70: 121.0
  Episode 71: 81.0
  Episode 72: 54.0
  Episode 73: 76.0
  Episode 74: 23.0
  Episode 75: 66.0
  Episode 76: 45.0
  Episode 77: 63.0
  Episode 78: 62.0
  Episode 79: 225.0
  Episode 80: 101.0
  Episode 81: 101.0
  Episode 82: 137.0
  Episode 83: 48.0
  Episode 84: 44.0
  Episode 85: 115.0
  Episode 86: 12.0
  Episode 87: 44.0
  Episode 88: 74.0
  Episode 89: 14.0
  Episode 90: 36.0
  Episode 91: 9.0
  Episode 92: 20.0
  Episode 93: 14.0
  Episode 94: 35.0
  Episode 95: 66.0
  Episode 96: 40.0
  Episode 97: 86.0
  Episode 98: 15.0
  Episode 99: 98.0
  Episode 100: 31.0

Mean Reward: 57.55
Std Reward: 40.33
