Algorithm: ppo
Environment: Hopper-v4
Seed: 42

Episode Rewards:
  Episode 1: 3381.3609293699265
  Episode 2: 3331.736747264862
  Episode 3: 3338.6259986162186
  Episode 4: 3308.3834224939346
  Episode 5: 3353.6582382917404
  Episode 6: 2605.9862632751465
  Episode 7: 3349.304688334465
  Episode 8: 3338.8566348552704
  Episode 9: 2748.1632006168365
  Episode 10: 3320.736151456833
  Episode 11: 3377.0605285167694
  Episode 12: 3263.8063735961914
  Episode 13: 3339.7537338733673
  Episode 14: 3338.6096028089523
  Episode 15: 3332.30304312706
  Episode 16: 2434.6704367399216
  Episode 17: 3291.5835807323456
  Episode 18: 3384.6193207502365
  Episode 19: 3335.341812491417
  Episode 20: 3331.517569422722
  Episode 21: 2680.8575253486633
  Episode 22: 3331.688506603241
  Episode 23: 3019.8122565746307
  Episode 24: 3336.7361607551575
  Episode 25: 3332.376636862755
  Episode 26: 2436.681434750557
  Episode 27: 3336.6835349798203
  Episode 28: 3328.8249336481094
  Episode 29: 2421.3215713500977
  Episode 30: 3330.7332602739334
  Episode 31: 3370.969820380211
  Episode 32: 3327.1093026399612
  Episode 33: 3338.9307495355606
  Episode 34: 3333.4723930358887
  Episode 35: 3419.9438515901566
  Episode 36: 2437.2488243579865
  Episode 37: 3347.31021630764
  Episode 38: 2686.238985657692
  Episode 39: 3000.212089419365
  Episode 40: 3297.858035326004
  Episode 41: 3339.244757294655
  Episode 42: 3365.680463075638
  Episode 43: 3133.472228527069
  Episode 44: 2676.8478420972824
  Episode 45: 2448.9215317964554
  Episode 46: 3334.8310619592667
  Episode 47: 3333.6555767059326
  Episode 48: 3269.5540754795074
  Episode 49: 3319.34266769886
  Episode 50: 2680.50936961174
  Episode 51: 3338.0293855667114
  Episode 52: 2564.0468740463257
  Episode 53: 2437.987139582634
  Episode 54: 3363.179926753044
  Episode 55: 3331.494022488594
  Episode 56: 3338.4697486162186
  Episode 57: 2475.2140350341797
  Episode 58: 3307.502359390259
  Episode 59: 3331.9534542560577
  Episode 60: 3335.7928010225296
  Episode 61: 2996.0793684720993
  Episode 62: 3333.067345738411
  Episode 63: 3342.5621140003204
  Episode 64: 3334.4480801820755
  Episode 65: 3322.261133670807
  Episode 66: 3340.969178557396
  Episode 67: 2982.292387485504
  Episode 68: 3330.780097961426
  Episode 69: 3329.284134864807
  Episode 70: 3349.0666595697403
  Episode 71: 3330.534161090851
  Episode 72: 3333.888684988022
  Episode 73: 2942.876245498657
  Episode 74: 3335.3278180360794
  Episode 75: 3325.703797698021
  Episode 76: 3363.389871120453
  Episode 77: 2757.3327404260635
  Episode 78: 3333.0456504821777
  Episode 79: 3359.1695927381516
  Episode 80: 2870.8380949497223
  Episode 81: 3318.493909597397
  Episode 82: 3348.9585260152817
  Episode 83: 3397.4066902399063
  Episode 84: 3336.9967205524445
  Episode 85: 3416.10111284256
  Episode 86: 3347.958692908287
  Episode 87: 3336.8241304159164
  Episode 88: 2892.0651516914368
  Episode 89: 2434.327145934105
  Episode 90: 3335.525050163269
  Episode 91: 3364.148409843445
  Episode 92: 3346.9602818489075
  Episode 93: 3273.801649093628
  Episode 94: 2417.788986682892
  Episode 95: 3315.574864387512
  Episode 96: 3353.87403011322
  Episode 97: 3344.6477177143097
  Episode 98: 3327.3849750757217
  Episode 99: 3331.337863087654
  Episode 100: 3414.2314141988754

Mean Reward: 3176.14
Std Reward: 305.69
