Algorithm: a2c
Environment: HalfCheetah-v4
Seed: 456

Episode Rewards:
  Episode 1: 2501.8417809512466
  Episode 2: 2681.4460190981627
  Episode 3: 1277.2504882081412
  Episode 4: 2411.8161250650883
  Episode 5: 2553.2570718452334
  Episode 6: 1104.0802248548716
  Episode 7: 1488.2043005088344
  Episode 8: 2037.6443965975195
  Episode 9: 2560.413108166307
  Episode 10: 2391.23134220083
  Episode 11: 1000.7725657864939
  Episode 12: 1723.5377507749945
  Episode 13: 2413.4282279005274
  Episode 14: 1144.5765240464825
  Episode 15: 2410.731716112874
  Episode 16: 2583.792264148593
  Episode 17: 1260.0839261601213
  Episode 18: 2170.2882153303362
  Episode 19: 1298.324331158772
  Episode 20: 2026.201942869462
  Episode 21: 1572.6080624046735
  Episode 22: 951.0362644841662
  Episode 23: 2438.478632436134
  Episode 24: -153.66775475814939
  Episode 25: 2352.5395236175973
  Episode 26: 876.6404140340746
  Episode 27: 941.6200340376236
  Episode 28: 2399.945824407041
  Episode 29: 849.8922616599593
  Episode 30: 2063.3377446643717
  Episode 31: 2057.383604902774
  Episode 32: 2642.4239817783237
  Episode 33: 1647.017462791875
  Episode 34: 2425.7492779307067
  Episode 35: 1616.4911255567567
  Episode 36: 1271.188646147726
  Episode 37: 2511.273000079207
  Episode 38: 2621.205623758957
  Episode 39: 2489.456679753959
  Episode 40: 892.4718558264431
  Episode 41: 2636.8246985096484
  Episode 42: 2655.5875849286094
  Episode 43: 2618.6636227359995
  Episode 44: 899.1392026567191
  Episode 45: 2428.983391676098
  Episode 46: 1324.2188591532176
  Episode 47: 2602.865204596892
  Episode 48: 1155.0772637221962
  Episode 49: 2798.4462255612016
  Episode 50: 1574.8904848140664
  Episode 51: 2581.498281840759
  Episode 52: 2457.9610297330655
  Episode 53: 1803.0636726280209
  Episode 54: 2545.0837289094925
  Episode 55: 1535.411882577464
  Episode 56: 1614.5988863473758
  Episode 57: 1564.6478672267403
  Episode 58: 2496.2295121127972
  Episode 59: 2149.1968001531422
  Episode 60: 2544.3588780388236
  Episode 61: 2594.651485029608
  Episode 62: 2449.110630666837
  Episode 63: 1292.463741202373
  Episode 64: 2612.722885597497
  Episode 65: 1383.4807144945953
  Episode 66: 2721.401847979054
  Episode 67: 2317.3128253961913
  Episode 68: 2633.6074962206185
  Episode 69: 2510.0146510433406
  Episode 70: 1389.3591205920093
  Episode 71: 2650.5428006689763
  Episode 72: 2471.4823198877275
  Episode 73: 2557.3346303775907
  Episode 74: 2100.8930704682134
  Episode 75: 1432.2558177830651
  Episode 76: 2463.178960615769
  Episode 77: 2625.0177062153816
  Episode 78: 2490.6672188590746
  Episode 79: 1274.424916968681
  Episode 80: 1912.6041671540588
  Episode 81: 2420.584011759609
  Episode 82: 2580.566912936978
  Episode 83: 2423.819707836956
  Episode 84: 2424.5343720940873
  Episode 85: 2382.2968708076514
  Episode 86: 1520.4590025586076
  Episode 87: 2542.9636907922104
  Episode 88: 2419.0565235449467
  Episode 89: 1590.3188910792232
  Episode 90: 2431.6792622788344
  Episode 91: 1938.4660112336278
  Episode 92: 1304.9688087342656
  Episode 93: 2248.4962307242677
  Episode 94: 2620.636653392263
  Episode 95: 2424.0727035962045
  Episode 96: 2338.3768299054354
  Episode 97: 2545.6523970365524
  Episode 98: 2382.4739667442627
  Episode 99: 1913.5943330647424
  Episode 100: 2539.4451423063874

Mean Reward: 2043.68
Std Reward: 611.42
